año,municipio,departamento,categoria,grupo_especifico,tipo_violencia,lat,lon
2004,SAN CARLOS,ANTIOQUIA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,AT_Atentados_Terroristas,6.193789659,-74.90732769
2004,APARTADO,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,7.86047815,-76.58236264
2005,SARAVENA,ARAUCA,GUERRILLA,,AT_Atentados_Terroristas,6.906941714,-71.85070757
2005,ARAUCA,ARAUCA,GUERRILLA,,AT_Atentados_Terroristas,6.796280825,-70.50921153
2005,FLORENCIA,CAQUETA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,AT_Atentados_Terroristas,1.749138704,-75.55823906
2006,SAN VICENTE DEL CAGUAN,CAQUETA,GUERRILLA,FARC,AT_Atentados_Terroristas,1.308465061,-74.19746971
2006,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,FARC,AT_Atentados_Terroristas,4.316107698,-74.1810727
2006,SANTIAGO DE CALI,VALLE DEL CAUCA,DESCONOCIDO,,AT_Atentados_Terroristas,3.414162,-76.521469
2006,BUENAVENTURA,VALLE DEL CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.493340766,-77.11872831
2006,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,FARC,AT_Atentados_Terroristas,4.316107698,-74.1810727
2007,BUENAVENTURA,VALLE DEL CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.875708,-77.01074
2007,BUENAVENTURA,VALLE DEL CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.493340766,-77.11872831
2007,NEIVA,HUILA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.993360046,-75.27236232
2007,PUERTO ASIS,PUTUMAYO,GUERRILLA,FARC,AT_Atentados_Terroristas,0.433884539,-76.52158203
2008,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,FARC,AT_Atentados_Terroristas,4.316107698,-74.1810727
2008,ITUANGO,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,7.341549718,-75.67842277
2008,SAN RAFAEL,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.31074453,-74.99858652
2008,SAN RAFAEL,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.31074453,-74.99858652
2009,ROBERTO PAYAN,NARIÑO,GUERRILLA,FARC,AT_Atentados_Terroristas,1.697492,-78.245716
2009,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,FARC,AT_Atentados_Terroristas,4.316107698,-74.1810727
2009,SANTIAGO DE CALI,VALLE DEL CAUCA,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,3.399043723,-76.57649259
2009,CONVENCION,NORTE DE SANTANDER,GUERRILLA,ELN,AT_Atentados_Terroristas,8.873159895,-73.20007769
2009,APARTADO,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,7.86047815,-76.58236264
2009,SAMANIEGO,NARIÑO,GUERRILLA,ELN,AT_Atentados_Terroristas,1.430555262,-77.69179559
2010,BUENAVENTURA,VALLE DEL CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.493340766,-77.11872831
2010,GUAPI,CAUCA,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,2.41326696,-77.69047531
2010,APARTADO,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,7.86047815,-76.58236264
2010,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,FARC,AT_Atentados_Terroristas,4.650173,-74.107359
2011,SAN CALIXTO,NORTE DE SANTANDER,GUERRILLA,FARC,AT_Atentados_Terroristas,8.414441404,-73.2176038
2011,SANTA BARBARA,NARIÑO,GUERRILLA,FARC,AT_Atentados_Terroristas,2.494420411,-77.98256461
2011,POPAYAN,CAUCA,GUERRILLA,ELN,AT_Atentados_Terroristas,2.471704362,-76.59194419
2011,TORIBIO,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.975771999,-76.20331566
2011,FLORIDA,VALLE DEL CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.304104295,-76.16477307
2011,MAICAO,LA GUAJIRA,GUERRILLA,FARC,AT_Atentados_Terroristas,11.38157764,-72.29500818
2012,TIBU,NORTE DE SANTANDER,GUERRILLA,FARC,AT_Atentados_Terroristas,8.468711125,-72.57585052
2012,SAN ANDRES DE TUMACO,NARIÑO,GUERRILLA,FARC,AT_Atentados_Terroristas,1.574550638,-78.61540963
2012,SAN ANDRES DE TUMACO,NARIÑO,GUERRILLA,FARC,AT_Atentados_Terroristas,1.574550638,-78.61540963
2012,VILLA RICA,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.180627317,-76.46445558
2012,CORINTO,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.136753606,-76.20964569
2012,EL TARRA,NORTE DE SANTANDER,GUERRILLA,FARC,AT_Atentados_Terroristas,8.678263671,-73.0317597
2012,JAMBALO,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.84981013,-76.31124919
2012,IBAGUE,TOLIMA,GUERRILLA,FARC,AT_Atentados_Terroristas,4.451921427,-75.252591
